date,seq,value,x,y,z
2004/10/18,2004001,70,0,7,0
2004/10/19,2004002,557,5,5,7
2004/10/20,2004003,986,9,8,6
2004/10/21,2004004,791,7,9,1
2004/10/22,2004005,941,9,4,1
2004/10/23,2004006,611,6,1,1
2004/10/24,2004007,144,1,4,4
2004/10/25,2004008,471,4,7,1
2004/10/26,2004009,505,5,0,5
2004/10/27,2004010,828,8,2,8
2004/10/28,2004011,607,6,0,7
2004/10/29,2004012,878,8,7,8
2004/10/30,2004013,477,4,7,7
2004/10/31,2004014,476,4,7,6
2004/11/1,2004015,439,4,3,9
2004/11/2,2004016,679,6,7,9
2004/11/3,2004017,688,6,8,8
2004/11/4,2004018,177,1,7,7
2004/11/5,2004019,264,2,6,4
2004/11/6,2004020,597,5,9,7
2004/11/7,2004021,270,2,7,0
2004/11/8,2004022,86,0,8,6
2004/11/9,2004023,936,9,3,6
2004/11/10,2004024,287,2,8,7
2004/11/11,2004025,152,1,5,2
2004/11/12,2004026,247,2,4,7
2004/11/13,2004027,798,7,9,8
2004/11/14,2004028,801,8,0,1
2004/11/15,2004029,485,4,8,5
2004/11/16,2004030,205,2,0,5
2004/11/17,2004031,800,8,0,0
2004/11/18,2004032,151,1,5,1
2004/11/19,2004033,992,9,9,2
2004/11/20,2004034,253,2,5,3
2004/11/21,2004035,911,9,1,1
2004/11/22,2004036,424,4,2,4
2004/11/23,2004037,828,8,2,8
2004/11/24,2004038,631,6,3,1
2004/11/25,2004039,339,3,3,9
2004/11/26,2004040,836,8,3,6
2004/11/27,2004041,935,9,3,5
2004/11/28,2004042,303,3,0,3
2004/11/29,2004043,227,2,2,7
2004/11/30,2004044,92,0,9,2
2004/12/1,2004045,927,9,2,7
2004/12/2,2004046,821,8,2,1
2004/12/3,2004047,731,7,3,1
2004/12/4,2004048,284,2,8,4
2004/12/5,2004049,798,7,9,8
2004/12/6,2004050,933,9,3,3
2004/12/7,2004051,66,0,6,6
2004/12/8,2004052,167,1,6,7
2004/12/9,2004053,487,4,8,7
2004/12/10,2004054,8,0,0,8
2004/12/11,2004055,378,3,7,8
2004/12/12,2004056,409,4,0,9
2004/12/13,2004057,774,7,7,4
2004/12/14,2004058,722,7,2,2
2004/12/15,2004059,229,2,2,9
2004/12/16,2004060,369,3,6,9
2004/12/17,2004061,651,6,5,1
2004/12/18,2004062,649,6,4,9
2004/12/19,2004063,357,3,5,7
2004/12/20,2004064,263,2,6,3
2004/12/21,2004065,472,4,7,2
2004/12/22,2004066,787,7,8,7
2004/12/23,2004067,419,4,1,9
2004/12/24,2004068,187,1,8,7
2004/12/25,2004069,519,5,1,9
2004/12/26,2004070,619,6,1,9
2004/12/27,2004071,107,1,0,7
2004/12/28,2004072,397,3,9,7
2004/12/29,2004073,229,2,2,9
2004/12/30,2004074,605,6,0,5
2004/12/31,2004075,321,3,2,1
2005/1/1,2005001,19,0,1,9
2005/1/2,2005002,43,0,4,3
2005/1/3,2005003,928,9,2,8
2005/1/4,2005004,52,0,5,2
2005/1/5,2005005,568,5,6,8
2005/1/6,2005006,864,8,6,4
2005/1/7,2005007,319,3,1,9
2005/1/8,2005008,3,0,0,3
2005/1/9,2005009,707,7,0,7
2005/1/10,2005010,658,6,5,8
2005/1/11,2005011,740,7,4,0
2005/1/12,2005012,854,8,5,4
